[-7.41046436e-01  9.08016414e+02],[ 0.63908513 -8.05957111]
[-7.80524955e-01  9.24199735e+02],[ 0.63088114 -2.59296647]
[-7.75496648e-01  9.23826687e+02],[0.617601   7.51376267]
[-7.37824223e-01  9.07470836e+02],[ 0.60861991 16.31352115]
[-7.43233620e-01  9.08963943e+02],[ 0.5808615  35.16736756]
[-7.43435105e-01  9.10746789e+02],[ 0.57653984 40.68497474]
[-7.68412131e-01  9.21699398e+02],[ 0.56976789 44.42597237]
[-7.74253107e-01  9.24793072e+02],[ 0.59925119 18.73356422]
[-7.59896481e-01  9.20284555e+02],None
[-7.87190974e-01  9.32345460e+02],None
[-7.79192780e-01  9.29860066e+02],[ 0.56190476 49.        ]
[-7.98878854e-01  9.39120682e+02],[ 0.59619535 22.54060095]
[-7.98700189e-01  9.38618009e+02],[ 0.6017438  18.13495148]
[-7.84686257e-01  9.32749435e+02],[ 0.58220322 35.66934102]
[-8.08151882e-01  9.41526148e+02],[ 0.589623   29.94004484]
[-7.7763749e-01  9.2814075e+02],[ 0.58332556 34.7729099 ]
[-7.86411402e-01  9.31596513e+02],[ 0.54182533 73.30195541]
[-7.64937642e-01  9.21270692e+02],[ 0.56990376 48.77198053]
[-7.64343413e-01  9.22100121e+02],[ 0.56940694 52.28825815]
[-7.82779118e-01  9.30711084e+02],None
[-7.84217731e-01  9.30545698e+02],None
[-7.87493489e-01  9.31687092e+02],[  0.75247525 -94.27722772]
[-7.92542473e-01  9.32103656e+02],[  0.65151637 -18.56086488]
[-7.92186458e-01  9.30525463e+02],[ 0.60317561 20.23681729]
[-7.90262823e-01  9.28394793e+02],[  0.65378921 -19.36622553]
[-7.40650121e-01  9.05536001e+02],[ 0.63794414 -9.2106396 ]
[-7.61475459e-01  9.15429811e+02],[ 0.56345591 56.28555694]
[-7.97448196e-01  9.30492617e+02],[ 0.579666   39.06346331]
[-7.68968476e-01  9.18142753e+02],[ 0.55782303 59.79232335]
[-7.61310346e-01  9.15795160e+02],[ 0.59330991 29.08713796]
[-7.69227618e-01  9.18514831e+02],[ 0.625 -0.625]
[-7.53591354e-01  9.14676483e+02],None
[-7.64438138e-01  9.19198360e+02],None
[-7.66160262e-01  9.18773576e+02],[  0.65254237 -21.1779661 ]
[-7.67790039e-01  9.19720304e+02],[ 0.60796019 15.98917544]
[-7.78931527e-01  9.22151494e+02],[ 0.62885035 -0.9225359 ]
[-7.61107493e-01  9.15076718e+02],[0.62771159 0.41608233]
[-7.53330362e-01  9.10387074e+02],[ 0.59778443 25.95500582]
[-7.55930513e-01  9.10690346e+02],[ 0.57365791 47.33877483]
[-7.77472471e-01  9.21517786e+02],[ 0.58926322 37.99248736]
[-7.58543838e-01  9.11868036e+02],[ 0.59593847 30.50241249]
[-7.39374516e-01  9.03119715e+02],[ 0.578125 39.28125 ]
[-7.45286460e-01  9.06608941e+02],None
[-7.37178053e-01  9.01419392e+02],None
[-6.82726263e-01  8.66082591e+02],[ 0.61108191 15.00329488]
[-6.82726263e-01  8.66082591e+02],[ 0.61108191 15.00329488]
[-6.82726263e-01  8.66082591e+02],[ 0.61108191 15.00329488]
